symbol,asset_type,name,description,cik,exchange,currency,country,sector,industry,address,official_site,oldest_fiscal_date,previous_oldest_fiscal_date,oldest_revenue,previous_oldest_revenue,oldest_net_income,previous_oldest_net_income,oldest_gross_profit,previous_oldest_gross_profit,oldest_revenue_growth_%,oldest_net_income_growth_%,oldest_gross_profit_growth_%
APD,Common Stock,Air Products and Chemicals Inc,"Air Products and Chemicals, Inc. (Ticker: APD) is a leading global provider of industrial gases and chemicals, headquartered in Allentown, Pennsylvania. With a robust product portfolio that includes essential gases such as oxygen, nitrogen, and hydrogen, the company serves critical sectors including energy, healthcare, and manufacturing. Air Products is committed to sustainability and innovation, consistently advancing technologies that help reduce carbon emissions and enhance energy efficiency. The company’s strategic investments in clean energy solutions position it as a key player in the transition towards a more sustainable energy future, reinforcing its role in addressing global environmental challenges.",2969,NYSE,USD,USA,BASIC MATERIALS,SPECIALTY CHEMICALS,"1940 AIR PRODUCTS BOULEVARD, ALLENTOWN, PA, UNITED STATES, 18106-5500",https://www.airproducts.com,2016-09-30,2015-09-30,7503700000.0,7824300000.0,631100000.0,1277900000.0,2326400000.0,2226100000.0,-4.097491149367995,-50.61428906800219,4.505637662279323
AKAM,Common Stock,Akamai Technologies Inc,"Akamai Technologies, Inc. is a premier global provider of content delivery network (CDN) services, cybersecurity solutions, and cloud computing technologies, optimizing and securing digital experiences for its clients. By leveraging an extensive network of servers, Akamai enhances content delivery speed while safeguarding businesses against online threats, ensuring both performance and security. Serving a diverse range of industries, the company has established itself as a critical partner for enterprises navigating the intricacies of the digital landscape, with innovative solutions that address the evolving challenges of cloud services and cybersecurity. Akamai’s strategic partnerships and commitment to technological advancement reinforce its position as a leader in the rapidly growing data-centric economy.",1086222,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"145 BROADWAY, CAMBRIDGE, MA, UNITED STATES, 02142",https://www.akamai.com,2015-12-31,2014-12-31,2197448000.0,1963874000.0,321406000.0,333948000.0,1471828000.0,1352931000.0,11.89353288449259,-3.75567453615533,8.78810523226979
ALB,Common Stock,Albemarle Corp,"Albemarle Corporation, based in Charlotte, North Carolina, is a prominent global leader in specialty chemicals, particularly renowned for its advancements in lithium, bromine, and refining catalysts. The company is strategically focused on sustainability, significantly contributing to the electric vehicle and energy storage sectors through its top-tier lithium compounds. With the accelerating shift toward clean energy technologies, Albemarle stands out as a compelling investment opportunity for institutional investors looking to engage in the burgeoning sustainable energy market. Its robust market position and commitment to innovation underscore its potential for long-term growth.",915913,NYSE,USD,USA,BASIC MATERIALS,SPECIALTY CHEMICALS,"4250 CONGRESS STREET, CHARLOTTE, NC, UNITED STATES, 28209",https://www.albemarle.com,2015-12-31,2014-12-31,3651335000.0,2445548000.0,334906000.0,133316000.0,1196872000.0,770848000.0,49.30539085718211,151.21215758048547,55.26692681306821
ARE,Common Stock,Alexandria Real Estate Equities Inc,"Alexandria Real Estate Equities, Inc. (ARE) is a premier real estate investment trust (REIT) focused on the acquisition, development, and management of high-quality office and laboratory spaces, predominantly catering to the life sciences and technology sectors. With a strategically located portfolio in vibrant innovation clusters, Alexandria is poised to capitalize on the increasing demand for advanced facilities that foster research and development. The company's strong emphasis on sustainability and innovative design not only distinguishes its properties but also aligns with the growing interest of institutional investors in the dynamic life sciences market.",1035443,NYSE,USD,USA,REAL ESTATE,REIT - OFFICE,"26 NORTH EUCLID AVENUE, PASADENA, CA, UNITED STATES, 91101-6104",https://www.are.com,2015-12-31,2014-12-31,819554000.0,726877000.0,144217000.0,101574000.0,558322000.0,507713000.0,12.75002510741157,41.982200169334675,9.968033121074308
ALGN,Common Stock,Align Technology Inc,"Align Technology Inc. is a premier provider of innovative dental solutions, best known for its transformative Invisalign clear aligners and cutting-edge 3D digital scanning technologies. Based in San Jose, California, the company is strategically positioned to capitalize on the increasing demand for discreet orthodontic options globally. With a strong emphasis on research and development, Align Technology is dedicated to refining its products and services, ensuring they remain at the forefront of orthodontic innovation while fostering long-term growth and solidifying its market leadership.",1097149,NASDAQ,USD,USA,HEALTHCARE,MEDICAL INSTRUMENTS & SUPPLIES,"410 NORTH SCOTTSDALE ROAD, TEMPE, AZ, UNITED STATES, 85288",https://www.aligntech.com,2015-12-31,2014-12-31,845486000.0,761653000.0,144020000.0,145832000.0,640110000.0,578443000.0,11.006718282472464,-1.242525645948763,10.660860274910407
ALLE,Common Stock,Allegion PLC,"Allegion PLC is a premier global provider of security solutions, headquartered in Dublin, Ireland, and notable for its strong foothold in North America and other markets. The company’s extensive product portfolio includes well-established brands such as Schlage, LCN, and Von Duprin, catering to both residential and commercial sectors. Emphasizing innovation and quality, Allegion is dedicated to advancing safety and security across various environments, leveraging strategic investments in product development and expansion efforts to drive sustained growth.",1579241,NYSE,USD,USA,INDUSTRIALS,SECURITY & PROTECTION SERVICES,"IVEAGH COURT, DUBLIN, IRELAND, D02 VH94",https://www.allegion.com,2015-12-31,2014-12-31,2068100000.0,2118300000.0,153900000.0,175200000.0,869100000.0,853700000.0,-2.369824859557192,-12.157534246575343,1.8039123813986178
LNT,Common Stock,Alliant Energy Corp,"Alliant Energy Corporation (LNT), based in Madison, Wisconsin, is a leading public utility holding company that provides electricity and natural gas services to over 1.4 million customers in Iowa and Wisconsin. The company is committed to sustainability, actively investing in renewable energy projects that aim to significantly reduce carbon emissions and enhance energy efficiency. Its diversified energy portfolio, combined with strategic initiatives focused on innovation and infrastructure development, enables Alliant Energy to adapt to the changing energy landscape while ensuring reliable service delivery to its customers. This proactive approach positions the company favorably for long-term growth and resilience in a competitive market.",352541,NASDAQ,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"4902 NORTH BILTMORE LANE, MADISON, WI, UNITED STATES, 53718",https://www.alliantenergy.com,2015-12-31,2014-12-31,3253600000.0,3350300000.0,388400000.0,393300000.0,1090000000.0,1032800000.0,-2.8863086887741396,-1.245868293923214,5.538342370255616
ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is a prominent American insurance provider based in Northfield Township, Illinois, offering a comprehensive suite of insurance solutions including auto, home, life, and commercial coverage. Renowned for its commitment to customer satisfaction, Allstate utilizes cutting-edge technology and data analytics to optimize risk evaluation and streamline claims processes, solidifying its position as a leader in the competitive insurance sector. The company boasts strong financial metrics and innovative product offerings designed to assist clients in effectively managing their risk exposure. With strategic initiatives focused on market expansion and sustainability, Allstate is well-equipped to navigate the evolving landscape of the insurance industry.",899051,NYSE,USD,USA,FINANCIAL SERVICES,INSURANCE - PROPERTY & CASUALTY,"3100 SANDERS ROAD, NORTHBROOK, IL, UNITED STATES, 60062",https://www.allstate.com,2015-12-31,2014-12-31,35653000000.0,35239000000.0,2171000000.0,2850000000.0,31572000000.0,30898000000.0,1.1748347001901303,-23.824561403508774,2.181370962521846
GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. (GOOGL) is a leading American multinational conglomerate based in Mountain View, California, established as the parent company of Google and its subsidiaries following a strategic restructuring in October 2015. As one of the world's largest technology companies by revenue, it operates in diverse segments including online advertising, cloud computing, consumer electronics, and artificial intelligence. Co-founders Larry Page and Sergey Brin continue to influence the company's strategic direction as controlling shareholders and board members. With a robust portfolio and a commitment to innovation, Alphabet remains at the forefront of tech advancements, driving significant market value and growth potential for institutional investors.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,2015-12-31,2014-12-31,74989000000.0,66001000000.0,16348000000.0,14136000000.0,46825000000.0,40310000000.0,13.61797548521992,15.647990945104699,16.162242619697345
GOOG,Common Stock,Alphabet Inc Class C,"Alphabet Inc. (GOOG) is a premier American multinational conglomerate headquartered in Mountain View, California, established in October 2015 as part of Google's corporate restructuring. As the parent company of Google and a diverse array of subsidiaries, Alphabet operates at the forefront of technology across key sectors, including search services, advertising, cloud computing, consumer electronics, and artificial intelligence. Renowned for its substantial revenue generation, the company plays a crucial role in the evolution of the global digital economy. With its co-founders actively involved in leadership, Alphabet is well-positioned to drive innovative solutions and expand its influence in emerging technology markets.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,2015-12-31,2014-12-31,74989000000.0,66001000000.0,16348000000.0,14136000000.0,46825000000.0,40310000000.0,13.61797548521992,15.647990945104699,16.162242619697345
MO,Common Stock,Altria Group,"Altria Group, Inc. is a prominent American tobacco company headquartered in Henrico County, Virginia, known for its extensive portfolio of iconic brands, including Marlboro and various smokeless products. As one of the largest producers and marketers of tobacco and nicotine products globally, Altria is actively transitioning towards reduced-risk alternatives, investing strategically in e-vapor and heated tobacco products. With a strong commitment to innovation, regulatory compliance, and sustainability, Altria is well-positioned to adapt to the dynamic landscape of the tobacco industry while addressing the growing consumer demand for less harmful options.",764180,NYSE,USD,USA,CONSUMER DEFENSIVE,TOBACCO,"6601 WEST BROAD STREET, RICHMOND, VA, UNITED STATES, 23230",https://www.altria.com,2015-12-31,2014-12-31,18854000000.0,17945000000.0,5241000000.0,5070000000.0,11114000000.0,10160000000.0,5.0654778489830035,3.3727810650887577,9.38976377952756
AMZN,Common Stock,Amazon.com Inc,"Amazon.com, Inc. is a leading American multinational technology company, widely recognized for its dominance in e-commerce, cloud computing via Amazon Web Services (AWS), and digital streaming. As a key player among the ""Big Five"" tech giants, Amazon's innovative approach and unwavering commitment to customer-centric solutions have established it as one of the world's most valuable brands. The company remains at the forefront of technological advancement, with strategic investments in artificial intelligence and logistics, positioning itself to leverage emerging market trends and further enhance its competitive edge in the rapidly evolving digital landscape.",1018724,NASDAQ,USD,USA,CONSUMER CYCLICAL,INTERNET RETAIL,"410 TERRY AVENUE NORTH, SEATTLE, WA, UNITED STATES, 98109-5210",https://www.aboutamazon.com,2015-12-31,2014-12-31,107006000000.0,88988000000.0,596000000.0,-241000000.0,9405000000.0,6195000000.0,20.247673843664316,-347.3029045643154,51.81598062953995
AMCR,Common Stock,Amcor PLC,"Amcor PLC is a premier global packaging leader headquartered in Australia, with a substantial presence in the United States and the UK. The company specializes in a broad range of flexible and rigid packaging solutions, catering to diverse sectors such as food, beverage, pharmaceuticals, and personal care. Committed to sustainability, Amcor prioritizes innovative packaging designs that not only extend product shelf life but also reduce environmental footprints. With its extensive portfolio and expertise, Amcor stands out as a crucial partner for brands aiming for high-quality packaging in a rapidly evolving market.",1748790,NYSE,USD,USA,CONSUMER CYCLICAL,PACKAGING & CONTAINERS,"THURGAUERSTRASSE 34, ZURICH, SWITZERLAND, 8050",https://www.amcor.com,2016-06-30,2015-06-30,9474348697.0,9599291738.0,245474000.0,679415000.0,2006032159.0,1929685542.0,-1.3015860379094146,-63.86979975420031,3.956427891399935
AEE,Common Stock,Ameren Corp,"Ameren Corporation (AEE) is a prominent utility holding company headquartered in St. Louis, Missouri, engaged in the generation, transmission, and distribution of electricity and natural gas across Missouri and Illinois. Established through the 1997 merger of Union Electric Company and Central Illinois Public Service Company, Ameren provides reliable energy services to millions of customers while prioritizing sustainable growth through innovative renewable energy initiatives. With a strong commitment to infrastructure modernization and clean energy advancements, Ameren is well-positioned to capitalize on emerging opportunities in the evolving energy landscape, driving long-term value for stakeholders.",1002910,NYSE,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"1901 CHOUTEAU AVENUE, SAINT LOUIS, MO, UNITED STATES, 63103",https://www.amereninvestors.com,2015-12-31,2014-12-31,6098000000.0,6053000000.0,630000000.0,586000000.0,2597000000.0,2467000000.0,0.743433008425574,7.508532423208192,5.26955816781516
AEP,Common Stock,American Electric Power Co Inc,"American Electric Power Co Inc (AEP) is one of the largest investor-owned utilities in the U.S., providing electricity to more than five million customers in 11 states. The company boasts a diversified generation portfolio that incorporates a significant focus on renewable energy, aligning with its commitment to sustainable practices and regulatory compliance. AEP is actively modernizing its infrastructure and enhancing its clean energy initiatives, reflecting a proactive approach to meet rising demand and environmental standards. Through strategic investments and a commitment to operational efficiency, AEP is well-positioned for sustained growth in the transitioning energy market.",4904,NASDAQ,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"1 RIVERSIDE PLAZA, COLUMBUS, OH, UNITED STATES, 43215-2373",https://www.aep.com,2015-12-31,2014-12-31,16395900000.0,16932000000.0,2047100000.0,1633800000.0,4283700000.0,4049000000.0,-3.166194188518781,25.296853960093035,5.796492961224994
AXP,Common Stock,American Express Company,"American Express Company (AXP) is a premier global financial services provider, specializing in high-end charge and credit card offerings, as well as comprehensive travel and expense management services. Based in New York City, the company operates through three primary segments: Global Consumer Services, Global Commercial Services, and Global Merchant Services, effectively serving a wide range of clients from individuals to large enterprises. With a steadfast focus on innovation and superior customer experience, American Express utilizes cutting-edge technology to continually enhance its offerings and maintain a competitive edge in the financial landscape. Its strategic partnerships and vast merchant network further solidify its position as a leader in the industry.",4962,NYSE,USD,USA,FINANCIAL SERVICES,CREDIT SERVICES,"200 VESEY STREET, NEW YORK, NY, UNITED STATES, 10285",https://www.americanexpress.com,2015-12-31,2014-12-31,34380000000.0,35151000000.0,5163000000.0,5885000000.0,30769000000.0,31400000000.0,-2.193394213535888,-12.268479184367035,-2.0095541401273884
AIG,Common Stock,American International Group Inc,"American International Group, Inc. (AIG) is a prominent global finance and insurance corporation based in the United States, operating in over 80 countries. The company is structured into three main segments: General Insurance, which encompasses property and casualty insurance; Life & Retirement, which focuses on life insurance and retirement solutions; and a technology-driven subsidiary dedicated to enhancing insurance offerings. AIG emphasizes sustainable value creation for its clients and stakeholders while effectively addressing the complexities of a rapidly changing global market. With its extensive experience and commitment to innovation, AIG remains a vital contributor to the insurance sector, adapting to the evolving demands and risks faced by customers worldwide.",5272,NYSE,USD,USA,FINANCIAL SERVICES,INSURANCE - DIVERSIFIED,"1271 AVENUE OF THE AMERICAS, NEW YORK, NY, UNITED STATES, 10020",https://www.aig.com,2015-12-31,2014-12-31,58925000000.0,64608000000.0,2196000000.0,7529000000.0,58925000000.0,64608000000.0,-8.796124318969788,-70.83277991765175,-8.796124318969788
AMT,Common Stock,American Tower Corp,"American Tower Corporation (AMT) is a premier real estate investment trust (REIT) that specializes in the ownership and operation of a diverse portfolio of wireless and broadcast communications infrastructure across the globe. Headquartered in Boston, Massachusetts, AMT is pivotal in supporting the growing demand for mobile connectivity by providing critical assets like cellular towers to telecommunications companies and broadcasters. The company's strategic focus on expanding its international presence aligns with the accelerating evolution of communication technologies, positioning AMT as a valuable investment opportunity for institutional investors seeking growth in the dynamic telecommunications sector.",1053507,NYSE,USD,USA,REAL ESTATE,REIT - SPECIALTY,"116 HUNTINGTON AVENUE, BOSTON, MA, UNITED STATES, 02116-5749",https://www.americantower.com,2015-12-31,2014-12-31,4771516000.0,4100048000.0,685074000.0,824910000.0,3464701000.0,3007620000.0,16.377076561054896,-16.951667454631412,15.197431856418032
AWK,Common Stock,American Water Works,"American Water Works Company, Inc. (AWK) is the premier publicly traded water and wastewater utility in the United States, providing essential services to over 14 million people across 24 states and parts of Canada. With a strategic focus on sustainable water management and significant investments in modernizing infrastructure, AWK is adept at navigating regulatory frameworks and addressing the critical challenges of resource conservation and environmental resilience. The company's robust operational performance and commitment to delivering reliable service position it favorably for long-term growth and consistent dividend payouts, making it an appealing investment choice for institutional investors seeking stability in the essential utilities sector.",1410636,NYSE,USD,USA,UTILITIES,UTILITIES - REGULATED WATER,"1 WATER STREET, CAMDEN, NJ, UNITED STATES, 08102-1658",https://www.amwater.com,2015-12-31,2014-12-31,3159000000.0,3011328000.0,476000000.0,423108000.0,1755000000.0,1661464000.0,4.903882938026014,12.500827211964793,5.629733776958153
AMP,Common Stock,Ameriprise Financial Inc,"Ameriprise Financial, Inc. (AMP) is a leading financial services firm headquartered in Minneapolis, Minnesota, recognized for its comprehensive wealth management and financial planning solutions. The company delivers a broad range of services, including asset management, insurance products, annuities, and estate planning, primarily serving individual and institutional clients. With an emphasis on personalized financial strategies and a commitment to excellence, Ameriprise leverages its deep market expertise to help clients achieve their financial objectives and enhance their long-term economic security. As a publicly traded entity, Ameriprise continues to strengthen its position in the financial sector through innovation and exceptional client service.",820027,NYSE,USD,USA,FINANCIAL SERVICES,ASSET MANAGEMENT,"1099 AMERIPRISE FINANCIAL CENTER, MINNEAPOLIS, MN, UNITED STATES, 55474",https://www.ameriprise.com,2015-12-31,2014-12-31,12170000000.0,12268000000.0,1562000000.0,1619000000.0,12170000000.0,12268000000.0,-0.7988262145418976,-3.5206917850525015,-0.7988262145418976
AME,Common Stock,Ametek Inc,"Ametek Inc. is a prominent global manufacturer of electronic instruments and electromechanical devices, headquartered in Berwyn, Pennsylvania. With over 220 manufacturing facilities worldwide, Ametek caters to diverse sectors including aerospace, power generation, and industrial applications. The company is distinguished by its commitment to innovation and a customer-centric business model, firmly establishing itself as a leader in advanced manufacturing. Ametek's strategic focus on operational excellence and its proactive approach to acquisitions bolster its strong growth trajectory amid a rapidly evolving market landscape.",1037868,NYSE,USD,USA,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,"1100 CASSATT ROAD, BERWYN, PA, UNITED STATES, 19312-1177",https://www.ametek.com,2015-12-31,2014-12-31,3974295000.0,4021964000.0,590859000.0,584460000.0,1356308000.0,1361223000.0,-1.1852169735979734,1.0948567908838929,-0.36107235919463604
AMGN,Common Stock,Amgen Inc,"Amgen Inc. is a prominent multinational biopharmaceutical company headquartered in Thousand Oaks, California, renowned for its innovative therapies rooted in recombinant DNA technology. Specializing in oncology, nephrology, and inflammation, Amgen leverages its expertise in molecular biology to develop and commercialize biologic products that enhance patient outcomes. With a robust drug pipeline and a strong competitive position in the biotechnology sector, Amgen remains at the forefront of medical advancements, actively addressing global unmet medical needs and maintaining a commitment to improving the quality of life for patients worldwide.",318154,NASDAQ,USD,USA,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,"ONE AMGEN CENTER DRIVE, THOUSAND OAKS, CA, UNITED STATES, 91320-1799",https://www.amgen.com,2015-12-31,2014-12-31,21662000000.0,20063000000.0,6939000000.0,5158000000.0,17435000000.0,15641000000.0,7.969894831281462,34.52888716556805,11.469854868614538
APH,Common Stock,Amphenol Corporation,"Amphenol Corporation (APH) is a leading global provider of innovative interconnect solutions, specializing in the design and manufacturing of electronic and fiber optic connectors, cable assemblies, and interconnect systems for diverse sectors such as telecommunications, automotive, industrial, and military. With a strong emphasis on quality and technological advancement, Amphenol is strategically positioned to capitalize on the rising demand for sophisticated connectivity solutions amidst evolving market dynamics. The company's robust operational framework and commitment to innovation not only enhance its competitive edge but also support sustained revenue growth and long-term shareholder value.",820313,NYSE,USD,USA,TECHNOLOGY,ELECTRONIC COMPONENTS,"358 HALL AVENUE, WALLINGFORD, CT, UNITED STATES, 06492",https://www.amphenol.com,2015-12-31,2014-12-31,5568700000.0,5345500000.0,763500000.0,709100000.0,1779500000.0,1693800000.0,4.175474698344401,7.671696516711323,5.0596292360373125
