symbol,asset_type,name,description,cik,exchange,currency,country,sector,industry,address,official_site,latest_fiscal_date,previous_fiscal_date,latest_revenue,previous_revenue,latest_net_income,previous_net_income,latest_gross_profit,previous_gross_profit,latest_revenue_growth_%,latest_net_income_growth_%,latest_gross_profit_growth_%
AKAM,Common Stock,Akamai Technologies Inc,"Akamai Technologies, Inc. is a premier global provider of content delivery network (CDN) services, cybersecurity solutions, and cloud computing technologies, optimizing and securing digital experiences for its clients. By leveraging an extensive network of servers, Akamai enhances content delivery speed while safeguarding businesses against online threats, ensuring both performance and security. Serving a diverse range of industries, the company has established itself as a critical partner for enterprises navigating the intricacies of the digital landscape, with innovative solutions that address the evolving challenges of cloud services and cybersecurity. Akamai’s strategic partnerships and commitment to technological advancement reinforce its position as a leader in the rapidly growing data-centric economy.",1086222,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"145 BROADWAY, CAMBRIDGE, MA, UNITED STATES, 02142",https://www.akamai.com,2024-12-31,2023-12-31,3991168000.0,3811920000.0,504918000.0,547629000.0,2370375000.0,2300857000.0,4.702302251883565,-7.799258256958634,3.0213959407299105
ALB,Common Stock,Albemarle Corp,"Albemarle Corporation, based in Charlotte, North Carolina, is a prominent global leader in specialty chemicals, particularly renowned for its advancements in lithium, bromine, and refining catalysts. The company is strategically focused on sustainability, significantly contributing to the electric vehicle and energy storage sectors through its top-tier lithium compounds. With the accelerating shift toward clean energy technologies, Albemarle stands out as a compelling investment opportunity for institutional investors looking to engage in the burgeoning sustainable energy market. Its robust market position and commitment to innovation underscore its potential for long-term growth.",915913,NYSE,USD,USA,BASIC MATERIALS,SPECIALTY CHEMICALS,"4250 CONGRESS STREET, CHARLOTTE, NC, UNITED STATES, 28209",https://www.albemarle.com,2024-12-31,2023-12-31,5377526000.0,9617203000.0,-1179449000.0,1573476000.0,62539000.0,1185909000.0,-44.08430392911536,-174.9581817580948,-94.72649250490552
ARE,Common Stock,Alexandria Real Estate Equities Inc,"Alexandria Real Estate Equities, Inc. (ARE) is a premier real estate investment trust (REIT) focused on the acquisition, development, and management of high-quality office and laboratory spaces, predominantly catering to the life sciences and technology sectors. With a strategically located portfolio in vibrant innovation clusters, Alexandria is poised to capitalize on the increasing demand for advanced facilities that foster research and development. The company's strong emphasis on sustainability and innovative design not only distinguishes its properties but also aligns with the growing interest of institutional investors in the dynamic life sciences market.",1035443,NYSE,USD,USA,REAL ESTATE,REIT - OFFICE,"26 NORTH EUCLID AVENUE, PASADENA, CA, UNITED STATES, 91101-6104",https://www.are.com,2024-12-31,2023-12-31,3049706000.0,2842456000.0,322949000.0,103639000.0,2140441000.0,1983276000.0,7.291229837858528,211.60952923127394,7.924514792696528
ALGN,Common Stock,Align Technology Inc,"Align Technology Inc. is a premier provider of innovative dental solutions, best known for its transformative Invisalign clear aligners and cutting-edge 3D digital scanning technologies. Based in San Jose, California, the company is strategically positioned to capitalize on the increasing demand for discreet orthodontic options globally. With a strong emphasis on research and development, Align Technology is dedicated to refining its products and services, ensuring they remain at the forefront of orthodontic innovation while fostering long-term growth and solidifying its market leadership.",1097149,NASDAQ,USD,USA,HEALTHCARE,MEDICAL INSTRUMENTS & SUPPLIES,"410 NORTH SCOTTSDALE ROAD, TEMPE, AZ, UNITED STATES, 85288",https://www.aligntech.com,2024-12-31,2023-12-31,3999012000.0,3862260000.0,421362000.0,445053000.0,2799159000.0,2706863000.0,3.5407248605738606,-5.323186227258327,3.4097034094448073
ALLE,Common Stock,Allegion PLC,"Allegion PLC is a premier global provider of security solutions, headquartered in Dublin, Ireland, and notable for its strong foothold in North America and other markets. The company’s extensive product portfolio includes well-established brands such as Schlage, LCN, and Von Duprin, catering to both residential and commercial sectors. Emphasizing innovation and quality, Allegion is dedicated to advancing safety and security across various environments, leveraging strategic investments in product development and expansion efforts to drive sustained growth.",1579241,NYSE,USD,USA,INDUSTRIALS,SECURITY & PROTECTION SERVICES,"IVEAGH COURT, DUBLIN, IRELAND, D02 VH94",https://www.allegion.com,2024-12-31,2023-12-31,3772200000.0,3650800000.0,597500000.0,540400000.0,1668500000.0,1581500000.0,3.325298564698148,10.566247224278312,5.501106544419854
LNT,Common Stock,Alliant Energy Corp,"Alliant Energy Corporation (LNT), based in Madison, Wisconsin, is a leading public utility holding company that provides electricity and natural gas services to over 1.4 million customers in Iowa and Wisconsin. The company is committed to sustainability, actively investing in renewable energy projects that aim to significantly reduce carbon emissions and enhance energy efficiency. Its diversified energy portfolio, combined with strategic initiatives focused on innovation and infrastructure development, enables Alliant Energy to adapt to the changing energy landscape while ensuring reliable service delivery to its customers. This proactive approach positions the company favorably for long-term growth and resilience in a competitive market.",352541,NASDAQ,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"4902 NORTH BILTMORE LANE, MADISON, WI, UNITED STATES, 53718",https://www.alliantenergy.com,2024-12-31,2023-12-31,3981000000.0,4027000000.0,690000000.0,703000000.0,1780000000.0,1734000000.0,-1.1422895455674198,-1.849217638691323,2.6528258362168398
ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is a prominent American insurance provider based in Northfield Township, Illinois, offering a comprehensive suite of insurance solutions including auto, home, life, and commercial coverage. Renowned for its commitment to customer satisfaction, Allstate utilizes cutting-edge technology and data analytics to optimize risk evaluation and streamline claims processes, solidifying its position as a leader in the competitive insurance sector. The company boasts strong financial metrics and innovative product offerings designed to assist clients in effectively managing their risk exposure. With strategic initiatives focused on market expansion and sustainability, Allstate is well-equipped to navigate the evolving landscape of the insurance industry.",899051,NYSE,USD,USA,FINANCIAL SERVICES,INSURANCE - PROPERTY & CASUALTY,"3100 SANDERS ROAD, NORTHBROOK, IL, UNITED STATES, 60062",https://www.allstate.com,2024-12-31,2023-12-31,63515000000.0,56591000000.0,4667000000.0,-188000000.0,14500000000.0,7172000000.0,12.235161068014348,-2582.446808510638,102.17512548800893
GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. (GOOGL) is a leading American multinational conglomerate based in Mountain View, California, established as the parent company of Google and its subsidiaries following a strategic restructuring in October 2015. As one of the world's largest technology companies by revenue, it operates in diverse segments including online advertising, cloud computing, consumer electronics, and artificial intelligence. Co-founders Larry Page and Sergey Brin continue to influence the company's strategic direction as controlling shareholders and board members. With a robust portfolio and a commitment to innovation, Alphabet remains at the forefront of tech advancements, driving significant market value and growth potential for institutional investors.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,2024-12-31,2023-12-31,350018000000.0,307394000000.0,100118000000.0,73795000000.0,203712000000.0,174062000000.0,13.866243322901553,35.67043837658378,17.03416024175294
GOOG,Common Stock,Alphabet Inc Class C,"Alphabet Inc. (GOOG) is a premier American multinational conglomerate headquartered in Mountain View, California, established in October 2015 as part of Google's corporate restructuring. As the parent company of Google and a diverse array of subsidiaries, Alphabet operates at the forefront of technology across key sectors, including search services, advertising, cloud computing, consumer electronics, and artificial intelligence. Renowned for its substantial revenue generation, the company plays a crucial role in the evolution of the global digital economy. With its co-founders actively involved in leadership, Alphabet is well-positioned to drive innovative solutions and expand its influence in emerging technology markets.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,2024-12-31,2023-12-31,350018000000.0,307394000000.0,100118000000.0,73795000000.0,203712000000.0,174062000000.0,13.866243322901553,35.67043837658378,17.03416024175294
MO,Common Stock,Altria Group,"Altria Group, Inc. is a prominent American tobacco company headquartered in Henrico County, Virginia, known for its extensive portfolio of iconic brands, including Marlboro and various smokeless products. As one of the largest producers and marketers of tobacco and nicotine products globally, Altria is actively transitioning towards reduced-risk alternatives, investing strategically in e-vapor and heated tobacco products. With a strong commitment to innovation, regulatory compliance, and sustainability, Altria is well-positioned to adapt to the dynamic landscape of the tobacco industry while addressing the growing consumer demand for less harmful options.",764180,NYSE,USD,USA,CONSUMER DEFENSIVE,TOBACCO,"6601 WEST BROAD STREET, RICHMOND, VA, UNITED STATES, 23230",https://www.altria.com,2024-12-31,2023-12-31,20444000000.0,24483000000.0,11264000000.0,8130000000.0,14367000000.0,14284000000.0,-16.49716129559286,38.54858548585486,0.5810697283674041
AMZN,Common Stock,Amazon.com Inc,"Amazon.com, Inc. is a leading American multinational technology company, widely recognized for its dominance in e-commerce, cloud computing via Amazon Web Services (AWS), and digital streaming. As a key player among the ""Big Five"" tech giants, Amazon's innovative approach and unwavering commitment to customer-centric solutions have established it as one of the world's most valuable brands. The company remains at the forefront of technological advancement, with strategic investments in artificial intelligence and logistics, positioning itself to leverage emerging market trends and further enhance its competitive edge in the rapidly evolving digital landscape.",1018724,NASDAQ,USD,USA,CONSUMER CYCLICAL,INTERNET RETAIL,"410 TERRY AVENUE NORTH, SEATTLE, WA, UNITED STATES, 98109-5210",https://www.aboutamazon.com,2024-12-31,2023-12-31,637959000000.0,574785000000.0,59248000000.0,30425000000.0,311671000000.0,270046000000.0,10.990892246666146,94.73459326211997,15.414040570865703
AMCR,Common Stock,Amcor PLC,"Amcor PLC is a premier global packaging leader headquartered in Australia, with a substantial presence in the United States and the UK. The company specializes in a broad range of flexible and rigid packaging solutions, catering to diverse sectors such as food, beverage, pharmaceuticals, and personal care. Committed to sustainability, Amcor prioritizes innovative packaging designs that not only extend product shelf life but also reduce environmental footprints. With its extensive portfolio and expertise, Amcor stands out as a crucial partner for brands aiming for high-quality packaging in a rapidly evolving market.",1748790,NYSE,USD,USA,CONSUMER CYCLICAL,PACKAGING & CONTAINERS,"THURGAUERSTRASSE 34, ZURICH, SWITZERLAND, 8050",https://www.amcor.com,2025-06-30,2024-06-30,15009000000.0,13640000000.0,511000000.0,730000000.0,2834000000.0,2712000000.0,10.036656891495602,-30.0,4.498525073746313
AEE,Common Stock,Ameren Corp,"Ameren Corporation (AEE) is a prominent utility holding company headquartered in St. Louis, Missouri, engaged in the generation, transmission, and distribution of electricity and natural gas across Missouri and Illinois. Established through the 1997 merger of Union Electric Company and Central Illinois Public Service Company, Ameren provides reliable energy services to millions of customers while prioritizing sustainable growth through innovative renewable energy initiatives. With a strong commitment to infrastructure modernization and clean energy advancements, Ameren is well-positioned to capitalize on emerging opportunities in the evolving energy landscape, driving long-term value for stakeholders.",1002910,NYSE,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"1901 CHOUTEAU AVENUE, SAINT LOUIS, MO, UNITED STATES, 63103",https://www.amereninvestors.com,2024-12-31,2023-12-31,7623000000.0,7500000000.0,1182000000.0,1152000000.0,3653000000.0,3467000000.0,1.6400000000000001,2.604166666666667,5.364868762618979
AEP,Common Stock,American Electric Power Co Inc,"American Electric Power Co Inc (AEP) is one of the largest investor-owned utilities in the U.S., providing electricity to more than five million customers in 11 states. The company boasts a diversified generation portfolio that incorporates a significant focus on renewable energy, aligning with its commitment to sustainable practices and regulatory compliance. AEP is actively modernizing its infrastructure and enhancing its clean energy initiatives, reflecting a proactive approach to meet rising demand and environmental standards. Through strategic investments and a commitment to operational efficiency, AEP is well-positioned for sustained growth in the transitioning energy market.",4904,NASDAQ,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"1 RIVERSIDE PLAZA, COLUMBUS, OH, UNITED STATES, 43215-2373",https://www.aep.com,2024-12-31,2023-12-31,19916500000.0,19381500000.0,2967100000.0,2208100000.0,6357000000.0,5624500000.0,2.7603642648917783,34.373443231737696,13.0233798559872
AXP,Common Stock,American Express Company,"American Express Company (AXP) is a premier global financial services provider, specializing in high-end charge and credit card offerings, as well as comprehensive travel and expense management services. Based in New York City, the company operates through three primary segments: Global Consumer Services, Global Commercial Services, and Global Merchant Services, effectively serving a wide range of clients from individuals to large enterprises. With a steadfast focus on innovation and superior customer experience, American Express utilizes cutting-edge technology to continually enhance its offerings and maintain a competitive edge in the financial landscape. Its strategic partnerships and vast merchant network further solidify its position as a leader in the industry.",4962,NYSE,USD,USA,FINANCIAL SERVICES,CREDIT SERVICES,"200 VESEY STREET, NEW YORK, NY, UNITED STATES, 10285",https://www.americanexpress.com,2024-12-31,2023-12-31,74201000000.0,67364000000.0,10129000000.0,8374000000.0,60764000000.0,55592000000.0,10.149337925301348,20.957726295677094,9.303496906029645
AIG,Common Stock,American International Group Inc,"American International Group, Inc. (AIG) is a prominent global finance and insurance corporation based in the United States, operating in over 80 countries. The company is structured into three main segments: General Insurance, which encompasses property and casualty insurance; Life & Retirement, which focuses on life insurance and retirement solutions; and a technology-driven subsidiary dedicated to enhancing insurance offerings. AIG emphasizes sustainable value creation for its clients and stakeholders while effectively addressing the complexities of a rapidly changing global market. With its extensive experience and commitment to innovation, AIG remains a vital contributor to the insurance sector, adapting to the evolving demands and risks faced by customers worldwide.",5272,NYSE,USD,USA,FINANCIAL SERVICES,INSURANCE - DIVERSIFIED,"1271 AVENUE OF THE AMERICAS, NEW YORK, NY, UNITED STATES, 10020",https://www.aig.com,2024-12-31,2023-12-31,27270000000.0,27959000000.0,-1404000000.0,3643000000.0,9278000000.0,4371000000.0,-2.46432275832469,-138.5396651111721,112.26264012811713
AMT,Common Stock,American Tower Corp,"American Tower Corporation (AMT) is a premier real estate investment trust (REIT) that specializes in the ownership and operation of a diverse portfolio of wireless and broadcast communications infrastructure across the globe. Headquartered in Boston, Massachusetts, AMT is pivotal in supporting the growing demand for mobile connectivity by providing critical assets like cellular towers to telecommunications companies and broadcasters. The company's strategic focus on expanding its international presence aligns with the accelerating evolution of communication technologies, positioning AMT as a valuable investment opportunity for institutional investors seeking growth in the dynamic telecommunications sector.",1053507,NYSE,USD,USA,REAL ESTATE,REIT - SPECIALTY,"116 HUNTINGTON AVENUE, BOSTON, MA, UNITED STATES, 02116-5749",https://www.americantower.com,2024-12-31,2023-12-31,10127200000.0,10012200000.0,2255000000.0,1483300000.0,7552800000.0,7450700000.0,1.1485987095743193,52.02588822220724,1.370341041781309
AWK,Common Stock,American Water Works,"American Water Works Company, Inc. (AWK) is the premier publicly traded water and wastewater utility in the United States, providing essential services to over 14 million people across 24 states and parts of Canada. With a strategic focus on sustainable water management and significant investments in modernizing infrastructure, AWK is adept at navigating regulatory frameworks and addressing the critical challenges of resource conservation and environmental resilience. The company's robust operational performance and commitment to delivering reliable service position it favorably for long-term growth and consistent dividend payouts, making it an appealing investment choice for institutional investors seeking stability in the essential utilities sector.",1410636,NYSE,USD,USA,UTILITIES,UTILITIES - REGULATED WATER,"1 WATER STREET, CAMDEN, NJ, UNITED STATES, 08102-1658",https://www.amwater.com,2024-12-31,2023-12-31,4684000000.0,4234000000.0,1051000000.0,944000000.0,2826000000.0,2514000000.0,10.628247520075579,11.334745762711865,12.410501193317423
AMP,Common Stock,Ameriprise Financial Inc,"Ameriprise Financial, Inc. (AMP) is a leading financial services firm headquartered in Minneapolis, Minnesota, recognized for its comprehensive wealth management and financial planning solutions. The company delivers a broad range of services, including asset management, insurance products, annuities, and estate planning, primarily serving individual and institutional clients. With an emphasis on personalized financial strategies and a commitment to excellence, Ameriprise leverages its deep market expertise to help clients achieve their financial objectives and enhance their long-term economic security. As a publicly traded entity, Ameriprise continues to strengthen its position in the financial sector through innovation and exceptional client service.",820027,NYSE,USD,USA,FINANCIAL SERVICES,ASSET MANAGEMENT,"1099 AMERIPRISE FINANCIAL CENTER, MINNEAPOLIS, MN, UNITED STATES, 55474",https://www.ameriprise.com,2024-12-31,2023-12-31,17264000000.0,15535000000.0,3401000000.0,2556000000.0,-991000000.0,-885000000.0,11.129707112970712,33.05946791862285,11.977401129943503
AME,Common Stock,Ametek Inc,"Ametek Inc. is a prominent global manufacturer of electronic instruments and electromechanical devices, headquartered in Berwyn, Pennsylvania. With over 220 manufacturing facilities worldwide, Ametek caters to diverse sectors including aerospace, power generation, and industrial applications. The company is distinguished by its commitment to innovation and a customer-centric business model, firmly establishing itself as a leader in advanced manufacturing. Ametek's strategic focus on operational excellence and its proactive approach to acquisitions bolster its strong growth trajectory amid a rapidly evolving market landscape.",1037868,NYSE,USD,USA,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,"1100 CASSATT ROAD, BERWYN, PA, UNITED STATES, 19312-1177",https://www.ametek.com,2024-12-31,2023-12-31,6941180000.0,6596950000.0,1376124000.0,1313188000.0,2476467000.0,6596950000.0,5.218017417139738,4.792611568183687,-62.46042489332191
AMGN,Common Stock,Amgen Inc,"Amgen Inc. is a prominent multinational biopharmaceutical company headquartered in Thousand Oaks, California, renowned for its innovative therapies rooted in recombinant DNA technology. Specializing in oncology, nephrology, and inflammation, Amgen leverages its expertise in molecular biology to develop and commercialize biologic products that enhance patient outcomes. With a robust drug pipeline and a strong competitive position in the biotechnology sector, Amgen remains at the forefront of medical advancements, actively addressing global unmet medical needs and maintaining a commitment to improving the quality of life for patients worldwide.",318154,NASDAQ,USD,USA,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,"ONE AMGEN CENTER DRIVE, THOUSAND OAKS, CA, UNITED STATES, 91320-1799",https://www.amgen.com,2024-12-31,2023-12-31,33424000000.0,28190000000.0,4090000000.0,6717000000.0,20566000000.0,19739000000.0,18.566867683575737,-39.10972160190561,4.189675262171336
