symbol,asset_type,name,description,cik,exchange,currency,country,sector,industry,address,official_site,fiscal_year_end,latest_quarter,market_capitalization,ebitda,pe_ratio,peg_ratio,book_value,dividend_per_share,dividend_yield,eps,revenue_per_share_ttm,profit_margin,operating_margin_ttm,return_on_assets_ttm,return_on_equity_ttm,revenue_ttm,gross_profit_ttm,diluted_eps_ttm,quarterly_earnings_growth_yoy,quarterly_revenue_growth_yoy,analyst_target_price,analyst_rating_strong_buy,analyst_rating_buy,analyst_rating_hold,analyst_rating_sell,analyst_rating_strong_sell,trailing_pe,forward_pe,price_to_sales_ratio_ttm,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,fifty_two_week_high,fifty_two_week_low,fifty_day_moving_average,two_hundred_day_moving_average,shares_outstanding,shares_float,percent_insiders,percent_institutions,dividend_date,ex_dividend_date
APD,Common Stock,Air Products and Chemicals Inc,"Air Products and Chemicals, Inc. (Ticker: APD) is a leading global provider of industrial gases and chemicals, headquartered in Allentown, Pennsylvania. With a robust product portfolio that includes essential gases such as oxygen, nitrogen, and hydrogen, the company serves critical sectors including energy, healthcare, and manufacturing. Air Products is committed to sustainability and innovation, consistently advancing technologies that help reduce carbon emissions and enhance energy efficiency. The company’s strategic investments in clean energy solutions position it as a key player in the transition towards a more sustainable energy future, reinforcing its role in addressing global environmental challenges.",2969,NYSE,USD,USA,BASIC MATERIALS,SPECIALTY CHEMICALS,"1940 AIR PRODUCTS BOULEVARD, ALLENTOWN, PA, UNITED STATES, 18106-5500",https://www.airproducts.com,September,2025-06-30,56350581000.0,4369200000.0,35.97,6.69,69.81,7.12,0.0281,7.04,54.16,0.129,0.243,0.0451,0.0934,12057900000.0,3843000000.0,7.04,0.024,0.012,319.71,3,12,7,0,1,35.97,20.75,4.673,3.876,6.32,20.78,0.839,334.71,240.55,281.52,288.56,222554000,221434000,0.402,94.2,2025-11-10,2025-10-01
ABNB,Common Stock,Airbnb Inc,"Airbnb, Inc. (ABNB) is a premier online marketplace headquartered in San Francisco, California, offering travelers access to a vast array of unique accommodations and experiences worldwide, from urban apartments to rural retreats. Founded in 2008, Airbnb has transformed the hospitality sector by prioritizing user experience through innovative technology while fostering community engagement and promoting local culture. As the company adapts to the post-pandemic travel landscape, it is strategically positioned to leverage rising demand for diverse travel experiences and continuously evolving consumer preferences. With its expansive global reach and commitment to enhancing guest and host relationships, Airbnb remains a key player in the redefined tourism and hospitality market.",1559720,NASDAQ,USD,USA,CONSUMER CYCLICAL,TRAVEL SERVICES,"888 BRANNAN STREET, SAN FRANCISCO, CA, UNITED STATES, 94103",https://www.airbnb.com,December,2025-06-30,75237646000.0,2654000000.0,30.56,1.508,12.7,0.0,0.0,4.12,18.59,0.227,0.198,0.0611,0.333,11580000000.0,9638000000.0,4.12,0.016,0.127,137.97,2,12,25,5,1,30.56,24.81,6.5,9.56,5.64,25.07,1.109,163.93,99.88,123.8,129.4,429080000,412935000,1.493,82.096,,
AKAM,Common Stock,Akamai Technologies Inc,"Akamai Technologies, Inc. is a premier global provider of content delivery network (CDN) services, cybersecurity solutions, and cloud computing technologies, optimizing and securing digital experiences for its clients. By leveraging an extensive network of servers, Akamai enhances content delivery speed while safeguarding businesses against online threats, ensuring both performance and security. Serving a diverse range of industries, the company has established itself as a critical partner for enterprises navigating the intricacies of the digital landscape, with innovative solutions that address the evolving challenges of cloud services and cybersecurity. Akamai’s strategic partnerships and commitment to technological advancement reinforce its position as a leader in the rapidly growing data-centric economy.",1086222,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"145 BROADWAY, CAMBRIDGE, MA, UNITED STATES, 02142",https://www.akamai.com,December,2025-06-30,10461408000.0,1150509000.0,25.75,0.671,30.06,0.0,0.0,2.83,27.43,0.104,0.149,0.0381,0.0921,4083251000.0,2414609000.0,2.83,-0.174,0.065,95.2,2,10,8,3,1,25.75,11.07,2.562,2.504,3.793,12.21,0.756,106.76,67.51,76.03,81.04,143386000,140151000,1.969,98.653,,
ALB,Common Stock,Albemarle Corp,"Albemarle Corporation, based in Charlotte, North Carolina, is a prominent global leader in specialty chemicals, particularly renowned for its advancements in lithium, bromine, and refining catalysts. The company is strategically focused on sustainability, significantly contributing to the electric vehicle and energy storage sectors through its top-tier lithium compounds. With the accelerating shift toward clean energy technologies, Albemarle stands out as a compelling investment opportunity for institutional investors looking to engage in the burgeoning sustainable energy market. Its robust market position and commitment to innovation underscore its potential for long-term growth.",915913,NYSE,USD,USA,BASIC MATERIALS,SPECIALTY CHEMICALS,"4250 CONGRESS STREET, CHARLOTTE, NC, UNITED STATES, 28209",https://www.albemarle.com,December,2025-06-30,11214006000.0,473204000.0,0.0,4.548,68.03,1.62,0.017,-9.33,42.46,-0.186,0.0415,-0.0064,-0.0811,4993278000.0,407654000.0,-9.33,-0.662,-0.07,92.24,1,6,16,2,0,0.0,72.99,2.246,1.288,2.895,22.45,1.657,111.49,48.84,83.78,73.85,117683000,117110000,0.406,98.829,2025-10-01,2025-09-12
ARE,Common Stock,Alexandria Real Estate Equities Inc,"Alexandria Real Estate Equities, Inc. (ARE) is a premier real estate investment trust (REIT) focused on the acquisition, development, and management of high-quality office and laboratory spaces, predominantly catering to the life sciences and technology sectors. With a strategically located portfolio in vibrant innovation clusters, Alexandria is poised to capitalize on the increasing demand for advanced facilities that foster research and development. The company's strong emphasis on sustainability and innovative design not only distinguishes its properties but also aligns with the growing interest of institutional investors in the dynamic life sciences market.",1035443,NYSE,USD,USA,REAL ESTATE,REIT - OFFICE,"26 NORTH EUCLID AVENUE, PASADENA, CA, UNITED STATES, 91101-6104",https://www.are.com,December,2025-06-30,12843344000.0,1978751000.0,0.0,844.2,100.94,5.26,0.0699,-0.13,18.09,-0.0033,0.204,0.012,0.0078,3097996000.0,2173471000.0,-0.13,6.48,-0.018,96.79,1,5,8,0,0,0.0,16.69,4.146,0.832,9.08,16.21,1.319,114.45,65.12,80.59,83.57,170721000,154143000,0.934,95.891,2025-10-15,2025-09-30
ALGN,Common Stock,Align Technology Inc,"Align Technology Inc. is a premier provider of innovative dental solutions, best known for its transformative Invisalign clear aligners and cutting-edge 3D digital scanning technologies. Based in San Jose, California, the company is strategically positioned to capitalize on the increasing demand for discreet orthodontic options globally. With a strong emphasis on research and development, Align Technology is dedicated to refining its products and services, ensuring they remain at the forefront of orthodontic innovation while fostering long-term growth and solidifying its market leadership.",1097149,NASDAQ,USD,USA,HEALTHCARE,MEDICAL INSTRUMENTS & SUPPLIES,"410 NORTH SCOTTSDALE ROAD, TEMPE, AZ, UNITED STATES, 85288",https://www.aligntech.com,December,2025-06-30,9455846000.0,799243000.0,22.04,0.763,53.98,0.0,0.0,5.92,53.71,0.11,0.161,0.065,0.114,3964802000.0,2772770000.0,5.92,0.342,-0.016,175.93,2,8,6,0,1,22.04,11.98,2.385,2.384,2.157,10.78,1.704,246.19,122.0,134.67,173.26,72486000,67961000,6.691,94.577,,
ALLE,Common Stock,Allegion PLC,"Allegion PLC is a premier global provider of security solutions, headquartered in Dublin, Ireland, and notable for its strong foothold in North America and other markets. The company’s extensive product portfolio includes well-established brands such as Schlage, LCN, and Von Duprin, catering to both residential and commercial sectors. Emphasizing innovation and quality, Allegion is dedicated to advancing safety and security across various environments, leveraging strategic investments in product development and expansion efforts to drive sustained growth.",1579241,NYSE,USD,USA,INDUSTRIALS,SECURITY & PROTECTION SERVICES,"IVEAGH COURT, DUBLIN, IRELAND, D02 VH94",https://www.allegion.com,December,2025-06-30,15237758000.0,934000000.0,24.62,1.996,20.81,1.98,0.0112,7.21,44.79,0.162,0.215,0.107,0.39,3876600000.0,1737800000.0,7.21,0.045,0.058,179.36,1,2,9,0,0,24.62,20.37,3.931,8.54,4.3,17.41,1.078,180.34,115.8,173.13,146.18,85847000,84757000,1.125,99.44,2025-09-30,2025-09-15
LNT,Common Stock,Alliant Energy Corp,"Alliant Energy Corporation (LNT), based in Madison, Wisconsin, is a leading public utility holding company that provides electricity and natural gas services to over 1.4 million customers in Iowa and Wisconsin. The company is committed to sustainability, actively investing in renewable energy projects that aim to significantly reduce carbon emissions and enhance energy efficiency. Its diversified energy portfolio, combined with strategic initiatives focused on innovation and infrastructure development, enables Alliant Energy to adapt to the changing energy landscape while ensuring reliable service delivery to its customers. This proactive approach positions the company favorably for long-term growth and resilience in a competitive market.",352541,NASDAQ,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"4902 NORTH BILTMORE LANE, MADISON, WI, UNITED STATES, 53718",https://www.alliantenergy.com,December,2025-06-30,17497637000.0,1813000000.0,21.01,1.976,27.8,1.975,0.0292,3.24,16.14,0.201,0.232,0.0273,0.119,4144000000.0,1952000000.0,3.24,0.996,0.075,70.4,0,5,5,0,1,21.01,19.38,4.222,2.386,6.76,14.28,0.54,69.16,54.71,65.76,62.66,257054000,256232000,0.231,84.101,2025-08-15,2025-07-31
ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is a prominent American insurance provider based in Northfield Township, Illinois, offering a comprehensive suite of insurance solutions including auto, home, life, and commercial coverage. Renowned for its commitment to customer satisfaction, Allstate utilizes cutting-edge technology and data analytics to optimize risk evaluation and streamline claims processes, solidifying its position as a leader in the competitive insurance sector. The company boasts strong financial metrics and innovative product offerings designed to assist clients in effectively managing their risk exposure. With strategic initiatives focused on market expansion and sustainability, Allstate is well-equipped to navigate the evolving landscape of the insurance industry.",899051,NYSE,USD,USA,FINANCIAL SERVICES,INSURANCE - PROPERTY & CASUALTY,"3100 SANDERS ROAD, NORTHBROOK, IL, UNITED STATES, 60062",https://www.allstate.com,December,2025-06-30,51612787000.0,7423000000.0,9.22,1.289,83.4,3.84,0.0197,21.25,250.02,0.0879,0.116,0.0383,0.27,66218000000.0,16284000000.0,21.25,5.87,0.058,232.4,4,13,4,1,1,9.22,9.15,0.779,2.513,0.982,0.0,0.377,215.7,173.88,205.69,199.24,263505000,261700000,0.581,81.783,2025-10-01,2025-08-29
GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. (GOOGL) is a leading American multinational conglomerate based in Mountain View, California, established as the parent company of Google and its subsidiaries following a strategic restructuring in October 2015. As one of the world's largest technology companies by revenue, it operates in diverse segments including online advertising, cloud computing, consumer electronics, and artificial intelligence. Co-founders Larry Page and Sergey Brin continue to influence the company's strategic direction as controlling shareholders and board members. With a robust portfolio and a commitment to innovation, Alphabet remains at the forefront of tech advancements, driving significant market value and growth potential for institutional investors.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2025-06-30,3043437838000.0,140840993000.0,27.03,1.671,29.98,1.01,0.004,9.37,30.43,0.311,0.324,0.168,0.348,371399000000.0,218911998000.0,9.37,0.223,0.138,252.73,12,42,11,0,0,27.03,23.31,8.19,8.19,7.85,18.48,1.0,256.96,140.23,231.32,189.13,5817000000,10836345000,0.26,80.876,2025-09-15,2025-09-08
GOOG,Common Stock,Alphabet Inc Class C,"Alphabet Inc. (GOOG) is a premier American multinational conglomerate headquartered in Mountain View, California, established in October 2015 as part of Google's corporate restructuring. As the parent company of Google and a diverse array of subsidiaries, Alphabet operates at the forefront of technology across key sectors, including search services, advertising, cloud computing, consumer electronics, and artificial intelligence. Renowned for its substantial revenue generation, the company plays a crucial role in the evolution of the global digital economy. With its co-founders actively involved in leadership, Alphabet is well-positioned to drive innovative solutions and expand its influence in emerging technology markets.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2025-06-30,3043437838000.0,140840993000.0,27.03,1.676,29.98,1.01,0.004,9.39,30.43,0.311,0.324,0.168,0.348,371399000000.0,218911998000.0,9.39,0.223,0.138,246.09,12,43,11,0,0,27.03,23.36,8.19,8.21,7.85,18.48,1.0,257.58,142.36,231.95,190.43,5430000000,10836345000,6.69,60.927,2025-09-15,2025-09-08
MO,Common Stock,Altria Group,"Altria Group, Inc. is a prominent American tobacco company headquartered in Henrico County, Virginia, known for its extensive portfolio of iconic brands, including Marlboro and various smokeless products. As one of the largest producers and marketers of tobacco and nicotine products globally, Altria is actively transitioning towards reduced-risk alternatives, investing strategically in e-vapor and heated tobacco products. With a strong commitment to innovation, regulatory compliance, and sustainability, Altria is well-positioned to adapt to the dynamic landscape of the tobacco industry while addressing the growing consumer demand for less harmful options.",764180,NYSE,USD,USA,CONSUMER DEFENSIVE,TOBACCO,"6601 WEST BROAD STREET, RICHMOND, VA, UNITED STATES, 23230",https://www.altria.com,December,2025-06-30,109276914000.0,12573000000.0,12.58,4.015,-1.937,4.08,0.0635,5.17,11.97,0.434,0.626,0.23,0.0,20259000000.0,14532000000.0,5.17,-0.362,0.002,63.83,0,4,9,1,1,12.58,11.74,5.39,27.3,6.61,11.12,0.572,67.71,45.65,65.85,59.38,1679891000,1676430000,0.098,62.075,2025-10-10,2025-09-15
AMZN,Common Stock,Amazon.com Inc,"Amazon.com, Inc. is a leading American multinational technology company, widely recognized for its dominance in e-commerce, cloud computing via Amazon Web Services (AWS), and digital streaming. As a key player among the ""Big Five"" tech giants, Amazon's innovative approach and unwavering commitment to customer-centric solutions have established it as one of the world's most valuable brands. The company remains at the forefront of technological advancement, with strategic investments in artificial intelligence and logistics, positioning itself to leverage emerging market trends and further enhance its competitive edge in the rapidly evolving digital landscape.",1018724,NASDAQ,USD,USA,CONSUMER CYCLICAL,INTERNET RETAIL,"410 TERRY AVENUE NORTH, SEATTLE, WA, UNITED STATES, 98109-5210",https://www.aboutamazon.com,December,2025-06-30,2272052642000.0,133831999000.0,32.48,1.972,31.31,0.0,0.0,6.56,63.37,0.105,0.114,0.077,0.248,670038032000.0,332382994000.0,6.56,0.333,0.133,266.56,14,51,3,0,0,32.48,28.57,3.391,7.11,3.601,16.79,1.281,242.52,161.38,225.53,214.25,10664912000,9675635000,9.205,66.347,,
AMCR,Common Stock,Amcor PLC,"Amcor PLC is a premier global packaging leader headquartered in Australia, with a substantial presence in the United States and the UK. The company specializes in a broad range of flexible and rigid packaging solutions, catering to diverse sectors such as food, beverage, pharmaceuticals, and personal care. Committed to sustainability, Amcor prioritizes innovative packaging designs that not only extend product shelf life but also reduce environmental footprints. With its extensive portfolio and expertise, Amcor stands out as a crucial partner for brands aiming for high-quality packaging in a rapidly evolving market.",1748790,NYSE,USD,USA,CONSUMER CYCLICAL,PACKAGING & CONTAINERS,"THURGAUERSTRASSE 34, ZURICH, SWITZERLAND, 8050",https://www.amcor.com,June,2025-06-30,18813133000.0,2037000000.0,25.47,0.522,5.09,0.51,0.0627,0.32,9.45,0.0341,0.0628,0.0307,0.066,15009000000.0,2834000000.0,0.32,0.053,0.438,10.43,3,5,4,0,0,25.47,10.39,1.254,1.62,2.211,18.77,0.719,10.65,7.81,8.39,9.26,2308360000,2294972000,0.219,68.988,2025-09-25,2025-09-05
AEE,Common Stock,Ameren Corp,"Ameren Corporation (AEE) is a prominent utility holding company headquartered in St. Louis, Missouri, engaged in the generation, transmission, and distribution of electricity and natural gas across Missouri and Illinois. Established through the 1997 merger of Union Electric Company and Central Illinois Public Service Company, Ameren provides reliable energy services to millions of customers while prioritizing sustainable growth through innovative renewable energy initiatives. With a strong commitment to infrastructure modernization and clean energy advancements, Ameren is well-positioned to capitalize on emerging opportunities in the evolving energy landscape, driving long-term value for stakeholders.",1002910,NYSE,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"1901 CHOUTEAU AVENUE, SAINT LOUIS, MO, UNITED STATES, 63103",https://www.amereninvestors.com,December,2025-06-30,28533654000.0,3301000000.0,23.19,2.396,45.54,2.76,0.0262,4.55,30.23,0.151,0.22,0.0268,0.102,8119000000.0,3787000000.0,4.55,0.044,0.322,108.42,0,7,5,0,1,23.19,19.3,3.514,2.26,5.67,13.09,0.494,106.23,82.82,101.59,98.14,270410000,269142000,0.279,87.194,2025-12-31,2025-12-09
